page_id,slug
NVTp8FzuxSed3FgZUhqwr,free-affinity-access
2BfQIKHFSduJQietWRPTDk,upgrade-to-canva-pro
5l3vHnfzDCyif6ERkQCdg8,about-canva-teams
6J6kD1cmzvp408cdzQjbFF,cancel-canva-plan
1GqvdDqG8C0NEYadyeKTqy,pause-annual-canva-plan
5TONynPrC1tG1OIrW2SDh3,about-canva-enterprise
65YDvd7tuPaUufQQdOWtoa,about-canva-for-education
3FrJFoQmqukQ9vMu6ZvTdu,canva-for-nonprofits
7uxqF1e9uWUckW43CQudJR,delete-account
b4uBl6aNpG9M2QiNOjPGZ,change-password
1QbNMB3zSfgaqfjwgJFqVC,payment-options
HESFEjhv8zvzEptdrMLtz,account-payment-method
CHckfi0CI4yOt49PZ2XNm,subscription-refunds
21qbtGChl9oE78dd87UpLo,sign-up-log-in
2gvOAUbQTQvvGQksz8uI5G,language-settings
2AQhCr22txAgmtpG6H8MSj,unfamiliar-charge
